t,binance_funding_rate,funding_payment
1736740800000,,1.25e-05
1736744400000,,1.554e-05
1736748000000,,1.25e-05
1736751600000,,1.25e-05
1736755200000,6.989e-05,1.25e-05
1736758800000,,1.25e-05
1736762400000,,1.25e-05
1736766000000,,1.25e-05
1736769600000,,1.25e-05
1736773200000,,1.25e-05
1736776800000,,1.25e-05
1736780400000,,1.25e-05
1736784000000,8.81e-06,1.25e-05
1736787600000,,1.25e-05
1736791200000,,1.25e-05
1736794800000,,1.25e-05
1736798400000,,1.25e-05
1736802000000,,-3.232e-05
1736805600000,,1.25e-05
1736809200000,,-3.71e-06
1736812800000,0.0001,1.25e-05
1736816400000,,1.25e-05
1736820000000,,1.25e-05
1736823600000,,1.25e-05
1736827200000,,1.25e-05
1736830800000,,1.25e-05
1736834400000,,1.25e-05
1736838000000,,1.25e-05
1736841600000,0.0001,1.25e-05
1736845200000,,1.25e-05
1736848800000,,1.25e-05
1736852400000,,1.25e-05
1736856000000,,1.25e-05
1736859600000,,1.25e-05
1736863200000,,1.25e-05
1736866800000,,1.25e-05
1736870400000,9.496e-05,1.25e-05
1736874000000,,1.25e-05
1736877600000,,1.25e-05
1736881200000,,1.25e-05
1736884800000,,1.25e-05
1736888400000,,1.25e-05
1736892000000,,1.25e-05
1736895600000,,1.25e-05
1736899200000,4.989e-05,1.25e-05
1736902800000,,5.73e-06
1736906400000,,6e-06
1736910000000,,1.25e-05
1736913600000,,1.25e-05
1736917200000,,-1.852e-05
1736920800000,,1.25e-05
1736924400000,,1.25e-05
1736928000000,8.795e-05,-3.02e-06
1736931600000,,-1.79e-06
1736935200000,,1.215e-05
1736938800000,,4.47e-06
1736942400000,,1.25e-05
1736946000000,,-2.517e-05
1736949600000,,1.25e-05
1736953200000,,1.25e-05
1736956800000,5.844e-05,1.25e-05
1736960400000,,1.25e-05
1736964000000,,1.25e-05
1736967600000,,1.25e-05
1736971200000,,1.25e-05
1736974800000,,1.25e-05
1736978400000,,1.25e-05
1736982000000,,1.25e-05
1736985600000,7.28e-06,1.25e-05
1736989200000,,1.25e-05
1736992800000,,1.25e-05
1736996400000,,8.55e-06
1737000000000,,1.25e-05
1737003600000,,1.25e-05
1737007200000,,1.25e-05
1737010800000,,1.25e-05
1737014400000,7.568e-05,1.25e-05
1737018000000,,1.25e-05
1737021600000,,1.25e-05
1737025200000,,1.25e-05
1737028800000,,1.25e-05
1737032400000,,1.25e-05
1737036000000,,1.25e-05
1737039600000,,1.25e-05
1737043200000,4.598e-05,3.317e-05
1737046800000,,1.25e-05
1737050400000,,1.25e-05
1737054000000,,1.25e-05
1737057600000,,5.202e-05
1737061200000,,2.972e-05
1737064800000,,1.25e-05
1737068400000,,1.25e-05
1737072000000,,1.25e-05
1737072000004,4.597e-05,
1737075600000,,1.25e-05
1737079200000,,1.865e-05
1737082800000,,4.012e-05
1737086400000,,1.791e-05
1737090000000,,4.836e-05
1737093600000,,1.25e-05
1737097200000,,1.25e-05
1737100800000,9.386e-05,3.238e-05
1737104400000,,2.44e-05
1737108000000,,1.25e-05
1737111600000,,3.034e-05
1737115200000,,3.654e-05
1737118800000,,1.901e-05
1737122400000,,3.997e-05
1737126000000,,1.295e-05
1737129600000,,1.25e-05
1737129600008,3.432e-05,
1737133200000,,1.25e-05
1737136800000,,1.25e-05
1737140400000,,1.25e-05
1737144000000,,1.25e-05
1737147600000,,1.25e-05
1737151200000,,1.25e-05
1737154800000,,1.25e-05
1737158400000,6.707e-05,1.25e-05
1737162000000,,1.25e-05
1737165600000,,1.25e-05
1737169200000,,1.25e-05
1737172800000,,1.25e-05
1737176400000,,1.25e-05
1737180000000,,1.25e-05
1737183600000,,1.25e-05
1737187200000,,1.25e-05
1737187200007,0.0001,
1737190800000,,1.25e-05
1737194400000,,1.25e-05
1737198000000,,1.25e-05
1737201600000,,1.25e-05
1737205200000,,1.25e-05
1737208800000,,2.493e-05
1737212400000,,1.25e-05
1737216000000,0.0001,2.118e-05
1737219600000,,1.25e-05
1737223200000,,1.25e-05
1737226800000,,1.25e-05
1737230400000,,1.534e-05
1737234000000,,2.882e-05
1737237600000,,1.25e-05
1737241200000,,1.25e-05
1737244800000,0.0001,1.25e-05
1737248400000,,3.235e-05
1737252000000,,1.25e-05
1737255600000,,3.643e-05
1737259200000,,3.871e-05
1737262800000,,4.223e-05
1737266400000,,4.215e-05
1737270000000,,3.578e-05
1737273600000,0.0001,4.328e-05
1737277200000,,1.41e-05
1737280800000,,2.297e-05
1737284400000,,1.25e-05
1737288000000,,2.494e-05
1737291600000,,3.755e-05
1737295200000,,2.801e-05
1737298800000,,1.69e-05
1737302400000,0.0001,2.919e-05
1737306000000,,3.516e-05
1737309600000,,8.259e-05
1737313200000,,5.889e-05
1737316800000,,0.00024593
1737320400000,,0.00015507
1737324000000,,1.25e-05
1737327600000,,1.25e-05
1737331200000,0.0001,1.25e-05
1737334800000,,1.25e-05
1737338400000,,4.426e-05
1737342000000,,8.836e-05
1737345600000,,4.298e-05
1737349200000,,5.976e-05
1737352800000,,1.25e-05
1737356400000,,0.00062959
1737360000000,,0.00015101
1737360000009,0.0001,
1737363600000,,3.132e-05
1737367200000,,5.31e-05
1737370800000,,0.0001077
1737374400000,,7.724e-05
1737378000000,,9.534e-05
1737381600000,,9.96e-05
1737385200000,,9.62e-05
1737388800000,0.0001,7.686e-05
1737392400000,,9.803e-05
1737396000000,,1.25e-05
1737399600000,,9.51e-05
1737403200000,,6.806e-05
1737406800000,,3.832e-05
1737410400000,,1.25e-05
1737414000000,,0.00010885
1737417600000,0.0001,1.25e-05
1737421200000,,1.25e-05
1737424800000,,1.25e-05
1737428400000,,1.917e-05
1737432000000,,3.683e-05
1737435600000,,1.25e-05
1737439200000,,1.25e-05
1737442800000,,2.563e-05
1737446400000,0.0001,5.76e-05
1737450000000,,6.524e-05
1737453600000,,5.19e-05
1737457200000,,8.412e-05
1737460800000,,3.629e-05
1737464400000,,8.23e-05
1737468000000,,1.25e-05
1737471600000,,7.67e-05
1737475200000,0.0001,2.529e-05
