t,binance_funding_rate,funding_payment
1737144000000,,2.07e-05
1737147600000,,4.754e-05
1737151200000,,5.753e-05
1737154800000,,1.25e-05
1737158400000,0.0001,4.864e-05
1737162000000,,1.25e-05
1737165600000,,2.156e-05
1737169200000,,1.25e-05
1737172800000,,1.25e-05
1737176400000,,1.25e-05
1737180000000,,1.25e-05
1737183600000,,1.25e-05
1737187200000,,1.25e-05
1737187200007,0.0001,
1737190800000,,1.25e-05
1737194400000,,1.25e-05
1737198000000,,1.25e-05
1737201600000,,1.25e-05
1737205200000,,1.25e-05
1737208800000,,1.25e-05
1737212400000,,1.25e-05
1737216000000,7.295e-05,1.304e-05
1737219600000,,2.575e-05
1737223200000,,7.017e-05
1737226800000,,1.25e-05
1737230400000,,6.394e-05
1737234000000,,6.392e-05
1737237600000,,8.902e-05
1737241200000,,2.744e-05
1737244800000,0.0001,5.892e-05
1737248400000,,0.00010771
1737252000000,,0.00010421
1737255600000,,1.25e-05
1737259200000,,3.486e-05
1737262800000,,1.25e-05
1737266400000,,1.25e-05
1737270000000,,0.00011974
1737273600000,0.0001,9.102e-05
1737277200000,,1.25e-05
1737280800000,,0.00014523
1737284400000,,9.888e-05
1737288000000,,1.25e-05
1737291600000,,0.00010036
1737295200000,,0.00016857
1737298800000,,0.00014822
1737302400000,0.0001,3.994e-05
1737306000000,,0.00010566
1737309600000,,0.00010178
1737313200000,,0.00013656
1737316800000,,0.0001598
1737320400000,,0.00014259
1737324000000,,-4e-06
1737327600000,,1.25e-05
1737331200000,0.0001,-5.73e-06
1737334800000,,-5.506e-05
1737338400000,,-3.109e-05
1737342000000,,-9.59e-06
1737345600000,,1.25e-05
1737349200000,,1.25e-05
1737352800000,,1.25e-05
1737356400000,,3.187e-05
1737360000000,,6.342e-05
1737360000009,0.0001,
1737363600000,,8.868e-05
1737367200000,,6.472e-05
1737370800000,,7.356e-05
1737374400000,,2.822e-05
1737378000000,,8.307e-05
1737381600000,,6.932e-05
1737385200000,,0.00010425
1737388800000,0.0001,8.583e-05
1737392400000,,6.098e-05
1737396000000,,1.25e-05
1737399600000,,7.714e-05
1737403200000,,1.401e-05
1737406800000,,1.25e-05
1737410400000,,3.585e-05
1737414000000,,3.549e-05
1737417600000,2.158e-05,1.25e-05
1737421200000,,1.25e-05
1737424800000,,1.25e-05
1737428400000,,2.541e-05
1737432000000,,1.25e-05
1737435600000,,1.25e-05
1737439200000,,1.25e-05
1737442800000,,1.873e-05
1737446400000,2.381e-05,1.25e-05
1737450000000,,1.25e-05
1737453600000,,1.497e-05
1737457200000,,1.25e-05
1737460800000,,4.464e-05
1737464400000,,0.00012034
1737468000000,,7.005e-05
1737471600000,,2.832e-05
1737475200000,0.0001,4.247e-05
1737478800000,,1.25e-05
1737482400000,,8.167e-05
1737486000000,,0.00010879
1737489600000,,0.00010567
1737493200000,,3.425e-05
1737496800000,,7.965e-05
1737500400000,,0.00010679
1737504000000,0.0001,2.335e-05
1737507600000,,3.992e-05
1737511200000,,1.25e-05
1737514800000,,1.25e-05
1737518400000,,2.968e-05
1737522000000,,1.76e-05
1737525600000,,6.784e-05
1737529200000,,1.25e-05
1737532800000,0.0001,1.25e-05
1737536400000,,1.25e-05
1737540000000,,1.25e-05
1737543600000,,3.897e-05
1737547200000,,2.211e-05
1737550800000,,1.25e-05
1737554400000,,2.016e-05
1737558000000,,2.296e-05
1737561600000,0.0001,8.552e-05
1737565200000,,6.508e-05
1737568800000,,7.567e-05
1737572400000,,6.282e-05
1737576000000,,1.25e-05
1737579600000,,1.25e-05
1737583200000,,1.25e-05
1737586800000,,1.25e-05
1737590400000,,1.25e-05
1737590400001,0.0001,
1737594000000,,1.25e-05
1737597600000,,-1.753e-05
1737601200000,,1.25e-05
1737604800000,,1.25e-05
1737608400000,,1.25e-05
1737612000000,,1.479e-05
1737615600000,,1.25e-05
1737619200000,0.0001,2.7e-05
1737622800000,,1.25e-05
1737626400000,,1.25e-05
1737630000000,,1.25e-05
1737633600000,,1.25e-05
1737637200000,,3.654e-05
1737640800000,,3.49e-05
1737644400000,,1.25e-05
1737648000000,0.0001,1.921e-05
1737651600000,,1.25e-05
1737655200000,,1.25e-05
1737658800000,,1.25e-05
1737662400000,,-3.19e-05
1737666000000,,-1.289e-05
1737669600000,,-2.101e-05
1737673200000,,1.25e-05
1737676800000,0.0001,1.25e-05
1737680400000,,-2.349e-05
1737684000000,,-0.00011078
1737687600000,,1.25e-05
1737691200000,,1.25e-05
1737694800000,,1.25e-05
1737698400000,,1.25e-05
1737702000000,,1.25e-05
1737705600000,0.0001,1.25e-05
1737709200000,,1.398e-05
1737712800000,,1.684e-05
1737716400000,,5.818e-05
1737720000000,,4.725e-05
1737723600000,,1.25e-05
1737727200000,,1.803e-05
1737730800000,,3.491e-05
1737734400000,0.0001,1.25e-05
1737738000000,,1.25e-05
1737741600000,,1.25e-05
1737745200000,,1.25e-05
1737748800000,,1.25e-05
1737752400000,,1.25e-05
1737756000000,,1.25e-05
1737759600000,,1.25e-05
1737763200000,0.0001,1.25e-05
1737766800000,,-1.285e-05
1737770400000,,1.25e-05
1737774000000,,1.25e-05
1737777600000,,1.25e-05
1737781200000,,1.25e-05
1737784800000,,1.25e-05
1737788400000,,-3.5e-06
1737792000000,0.0001,1.25e-05
1737795600000,,1.25e-05
1737799200000,,1.25e-05
1737802800000,,1.25e-05
1737806400000,,1.25e-05
1737810000000,,1.25e-05
1737813600000,,1.25e-05
1737817200000,,1.25e-05
1737820800000,,1.25e-05
1737820800001,0.0001,
1737824400000,,1.25e-05
1737828000000,,1.25e-05
1737831600000,,1.25e-05
1737835200000,,1.25e-05
1737838800000,,1.25e-05
1737842400000,,1.25e-05
1737846000000,,1.25e-05
1737849600000,0.0001,1.25e-05
1737853200000,,1.25e-05
1737856800000,,1.25e-05
1737860400000,,3.08e-05
1737864000000,,3.613e-05
1737867600000,,5.096e-05
1737871200000,,2.214e-05
1737874800000,,5.258e-05
1737878400000,0.0001,2.202e-05
1737882000000,,1.25e-05
1737885600000,,1.25e-05
1737889200000,,1.25e-05
1737892800000,,1.25e-05
1737896400000,,2.483e-05
1737900000000,,1.25e-05
1737903600000,,1.25e-05
1737907200000,0.0001,1.25e-05
1737910800000,,3.248e-05
1737914400000,,4.009e-05
1737918000000,,4.6e-05
1737921600000,,1.493e-05
1737925200000,,1.25e-05
1737928800000,,1.25e-05
1737932400000,,1.25e-05
1737936000000,7.303e-05,1.25e-05
1737939600000,,1.25e-05
1737943200000,,9.19e-06
1737946800000,,1.25e-05
1737950400000,,1.25e-05
1737954000000,,1.25e-05
1737957600000,,1.25e-05
1737961200000,,1.25e-05
1737964800000,0.0001,-3.225e-05
1737968400000,,1.25e-05
1737972000000,,1.25e-05
1737975600000,,1.25e-05
1737979200000,,1.25e-05
1737982800000,,1.25e-05
1737986400000,,1.25e-05
1737990000000,,1.25e-05
1737993600000,-0.00011707,1.25e-05
1737997200000,,2.9e-06
1738000800000,,-9.193e-05
1738004400000,,1.25e-05
1738008000000,,6.2e-07
1738011600000,,-2.082e-05
1738015200000,,-2.946e-05
1738018800000,,1.25e-05
1738022400000,-1.973e-05,1.25e-05
1738026000000,,1.25e-05
1738029600000,,-2.129e-05
1738033200000,,5.45e-06
1738036800000,,1.25e-05
1738040400000,,8.019e-05
1738044000000,,1.25e-05
1738047600000,,7.11e-06
1738051200000,1.209e-05,5.02e-06
1738054800000,,1.25e-05
1738058400000,,1.25e-05
1738062000000,,1.25e-05
1738065600000,,1.25e-05
1738069200000,,1.25e-05
1738072800000,,1.25e-05
1738076400000,,1.25e-05
1738080000000,3.306e-05,1.25e-05
1738083600000,,1.25e-05
1738087200000,,1.25e-05
1738090800000,,-1.35e-06
1738094400000,,1.25e-05
1738098000000,,1.25e-05
1738101600000,,1.25e-05
1738105200000,,1.25e-05
1738108800000,0.0001,1.25e-05
1738112400000,,1.25e-05
1738116000000,,1.25e-05
1738119600000,,1.25e-05
1738123200000,,1.25e-05
1738126800000,,1.25e-05
1738130400000,,1.25e-05
1738134000000,,1.25e-05
1738137600000,1.966e-05,1.25e-05
1738141200000,,1.25e-05
1738144800000,,1.25e-05
1738148400000,,1.25e-05
1738152000000,,1.25e-05
1738155600000,,1.25e-05
1738159200000,,1.25e-05
1738162800000,,1.25e-05
1738166400000,0.0001,1.25e-05
1738170000000,,1.25e-05
1738173600000,,1.25e-05
1738177200000,,1.25e-05
1738180800000,,1.25e-05
1738184400000,,1.25e-05
1738188000000,,-4.912e-05
1738191600000,,-3.149e-05
1738195200000,-5.819e-05,-6.255e-05
1738198800000,,1.25e-05
1738202400000,,1.25e-05
1738206000000,,1.25e-05
1738209600000,,1.25e-05
1738213200000,,1.25e-05
1738216800000,,1.25e-05
1738220400000,,1.25e-05
1738224000000,-1.198e-05,1.25e-05
1738227600000,,1.302e-05
1738231200000,,1.25e-05
1738234800000,,1.25e-05
1738238400000,,1.25e-05
1738242000000,,1.25e-05
1738245600000,,1.25e-05
1738249200000,,1.25e-05
1738252800000,2.118e-05,1.25e-05
1738256400000,,1.25e-05
1738260000000,,1.25e-05
1738263600000,,1.25e-05
1738267200000,,1.25e-05
1738270800000,,1.25e-05
1738274400000,,1.25e-05
1738278000000,,1.25e-05
1738281600000,0.0001,-1.035e-05
1738285200000,,-4.27e-05
1738288800000,,-7.352e-05
1738292400000,,7.06e-06
1738296000000,,-6.674e-05
1738299600000,,-5.231e-05
1738303200000,,1.25e-05
1738306800000,,1.25e-05
1738310400000,-2.391e-05,-2.755e-05
1738314000000,,-7.36e-05
1738317600000,,-4.589e-05
1738321200000,,-2.348e-05
1738324800000,,1.25e-05
1738328400000,,9e-08
1738332000000,,1.25e-05
1738335600000,,1.25e-05
1738339200000,8.629e-05,1.25e-05
1738342800000,,1.25e-05
1738346400000,,-2.834e-05
1738350000000,,6.59e-06
1738353600000,,-4.86e-05
1738357200000,,-0.0001188
1738360800000,,1.25e-05
1738364400000,,1.25e-05
1738368000000,2.6e-05,7.48e-06
1738371600000,,1.25e-05
1738375200000,,1.25e-05
1738378800000,,4.29e-06
1738382400000,,-2.096e-05
1738386000000,,-2.43e-06
1738389600000,,1.25e-05
1738393200000,,-4.831e-05
1738396800000,0.0001,1.203e-05
1738400400000,,-1.764e-05
1738404000000,,-3.545e-05
1738407600000,,1.072e-05
1738411200000,,1.25e-05
1738414800000,,7.61e-06
1738418400000,,-4.57e-06
1738422000000,,-0.00010258
1738425600000,0.0001,-1.717e-05
1738429200000,,1.25e-05
1738432800000,,1.25e-05
1738436400000,,1.25e-05
1738440000000,,1.25e-05
1738443600000,,1.25e-05
1738447200000,,1.25e-05
