t,binance_funding_rate,funding_payment
1736694000000,,1.25e-05
1736697600000,3.548e-05,1.25e-05
1736701200000,,1.25e-05
1736704800000,,1.25e-05
1736708400000,,1.25e-05
1736712000000,,1.25e-05
1736715600000,,1.25e-05
1736719200000,,1.25e-05
1736722800000,,1.25e-05
1736726400000,0.0001,1.25e-05
1736730000000,,1.25e-05
1736733600000,,1.25e-05
1736737200000,,1.25e-05
1736740800000,,1.25e-05
1736744400000,,1.25e-05
1736748000000,,1.25e-05
1736751600000,,1.25e-05
1736755200000,2.66e-05,-1.971e-05
1736758800000,,1.25e-05
1736762400000,,1.25e-05
1736766000000,,-2.856e-05
1736769600000,,1.25e-05
1736773200000,,-3.735e-05
1736776800000,,-1.567e-05
1736780400000,,1.25e-05
1736784000000,8.17e-06,6.57e-06
1736787600000,,1.25e-05
1736791200000,,1.25e-05
1736794800000,,1.25e-05
1736798400000,,1.25e-05
1736802000000,,1.25e-05
1736805600000,,1.25e-05
1736809200000,,1.25e-05
1736812800000,-4.601e-05,1.25e-05
1736816400000,,7.67e-06
1736820000000,,1.25e-05
1736823600000,,1.25e-05
1736827200000,,1.25e-05
1736830800000,,1.25e-05
1736834400000,,1.25e-05
1736838000000,,1.25e-05
1736841600000,-2.434e-05,8.62e-06
1736845200000,,-4.39e-06
1736848800000,,-1.668e-05
1736852400000,,-2.405e-05
1736856000000,,2.36e-06
1736859600000,,1.25e-05
1736863200000,,1.25e-05
1736866800000,,1.25e-05
1736870400000,2.374e-05,1.25e-05
1736874000000,,1.25e-05
1736877600000,,1.25e-05
1736881200000,,1.25e-05
1736884800000,,1.25e-05
1736888400000,,1.25e-05
1736892000000,,1.25e-05
1736895600000,,1.25e-05
1736899200000,3.357e-05,1.25e-05
1736902800000,,1.25e-05
1736906400000,,1.25e-05
1736910000000,,1.25e-05
1736913600000,,1.25e-05
1736917200000,,1.25e-05
1736920800000,,1.25e-05
1736924400000,,1.25e-05
1736928000000,-5.153e-05,1.25e-05
1736931600000,,1.25e-05
1736935200000,,1.25e-05
1736938800000,,1.25e-05
1736942400000,,1.25e-05
1736946000000,,1.25e-05
1736949600000,,1.25e-05
1736953200000,,1.25e-05
1736956800000,-2.957e-05,1.25e-05
1736960400000,,1.25e-05
1736964000000,,1.25e-05
1736967600000,,-4.307e-05
1736971200000,,1.25e-05
1736974800000,,-5.464e-05
1736978400000,,-3.61e-05
1736982000000,,-2.919e-05
1736985600000,0.0001,1.25e-05
1736989200000,,-2.317e-05
1736992800000,,1.25e-05
1736996400000,,-2.373e-05
1737000000000,,1.25e-05
1737003600000,,1.25e-05
1737007200000,,1.25e-05
1737010800000,,1.25e-05
1737014400000,0.0001,1.25e-05
1737018000000,,1.25e-05
1737021600000,,1.25e-05
1737025200000,,1.25e-05
1737028800000,,0.00011981
1737032400000,,4.069e-05
1737036000000,,2.09e-05
1737039600000,,1.25e-05
1737043200000,0.0001,2.717e-05
1737046800000,,1.25e-05
1737050400000,,1.25e-05
1737054000000,,6.677e-05
1737057600000,,7.172e-05
1737061200000,,4.888e-05
1737064800000,,1.25e-05
1737068400000,,1.25e-05
1737072000000,,2.632e-05
1737072000004,0.0001,
1737075600000,,1.25e-05
1737079200000,,4.823e-05
1737082800000,,3.139e-05
1737086400000,,2.632e-05
1737090000000,,1.25e-05
1737093600000,,1.25e-05
1737097200000,,1.25e-05
1737100800000,8.22e-05,1.369e-05
1737104400000,,1.25e-05
1737108000000,,1.25e-05
1737111600000,,2.954e-05
1737115200000,,1.25e-05
1737118800000,,1.25e-05
1737122400000,,1.25e-05
1737126000000,,2.871e-05
1737129600000,,2.231e-05
1737129600008,0.0001,
1737133200000,,1.677e-05
1737136800000,,1.25e-05
1737140400000,,1.25e-05
1737144000000,,1.25e-05
1737147600000,,1.25e-05
1737151200000,,1.25e-05
1737154800000,,1.25e-05
1737158400000,0.0001,1.25e-05
1737162000000,,1.25e-05
1737165600000,,1.25e-05
1737169200000,,1.25e-05
1737172800000,,0.00032951
1737176400000,,1.41e-05
1737180000000,,0.00018067
1737183600000,,2.213e-05
1737187200000,,1.25e-05
1737187200007,1.883e-05,
1737190800000,,1.25e-05
1737194400000,,1.25e-05
1737198000000,,1.25e-05
1737201600000,,1.25e-05
1737205200000,,1.25e-05
1737208800000,,8.318e-05
1737212400000,,6.648e-05
1737216000000,5.671e-05,0.00020454
1737219600000,,1.25e-05
1737223200000,,8.624e-05
1737226800000,,1.25e-05
1737230400000,,1.25e-05
1737234000000,,1.25e-05
1737237600000,,1.25e-05
1737241200000,,4.56e-05
1737244800000,0.0001,5.679e-05
1737248400000,,7.881e-05
1737252000000,,0.00010383
1737255600000,,5.464e-05
1737259200000,,3.174e-05
1737262800000,,0.00017975
1737266400000,,2.205e-05
1737270000000,,1.25e-05
1737273600000,9.252e-05,1.25e-05
1737277200000,,1.25e-05
1737280800000,,-1.502e-05
1737284400000,,-4.736e-05
1737288000000,,-4.67e-05
1737291600000,,1.25e-05
1737295200000,,1.25e-05
1737298800000,,6.224e-05
1737302400000,5.667e-05,1.25e-05
1737306000000,,1.25e-05
1737309600000,,0.00021846
1737313200000,,1.25e-05
1737316800000,,0.00016025
1737320400000,,9.511e-05
1737324000000,,-0.00041178
1737327600000,,-2.642e-05
1737331200000,-0.0007115,1.25e-05
1737334800000,,-0.00010156
1737338400000,,1.25e-05
1737342000000,,3.3e-06
1737345600000,,-1.513e-05
1737349200000,,1.25e-05
1737352800000,,1.25e-05
1737356400000,,3.444e-05
1737360000000,,1.25e-05
1737360000009,-7.723e-05,
1737363600000,,1.25e-05
1737367200000,,1.25e-05
1737370800000,,1.25e-05
1737374400000,,4.303e-05
1737378000000,,1.25e-05
1737381600000,,1.25e-05
1737385200000,,1.25e-05
1737388800000,8.924e-05,1.25e-05
1737392400000,,1.25e-05
1737396000000,,1.126e-05
1737399600000,,2.279e-05
1737403200000,,3.396e-05
