t,binance_funding_rate,funding_payment
1736715600000,,3.149e-05
1736719200000,,1.25e-05
1736722800000,,1.25e-05
1736726400000,0.0001,1.25e-05
1736730000000,,1.25e-05
1736733600000,,1.25e-05
1736737200000,,1.25e-05
1736740800000,,1.25e-05
1736744400000,,1.25e-05
1736748000000,,1.25e-05
1736751600000,,-1.378e-05
1736755200000,8.9e-05,1.25e-05
1736758800000,,2.67e-06
1736762400000,,1.25e-05
1736766000000,,-3.027e-05
1736769600000,,-7.86e-06
1736773200000,,1.25e-05
1736776800000,,1.25e-05
1736780400000,,4.551e-05
1736784000000,1.443e-05,1.25e-05
1736787600000,,1.25e-05
1736791200000,,1.25e-05
1736794800000,,1.25e-05
1736798400000,,1.25e-05
1736802000000,,4.215e-05
1736805600000,,4.118e-05
1736809200000,,1.653e-05
1736812800000,0.0001,2.82e-05
1736816400000,,5.212e-05
1736820000000,,2.173e-05
1736823600000,,3.999e-05
1736827200000,,5.987e-05
1736830800000,,2.049e-05
1736834400000,,1.25e-05
1736838000000,,1.25e-05
1736841600000,0.0001,2.102e-05
1736845200000,,1.25e-05
1736848800000,,3.944e-05
1736852400000,,1.952e-05
1736856000000,,1.25e-05
1736859600000,,1.25e-05
1736863200000,,2.992e-05
1736866800000,,1.36e-05
1736870400000,0.0001,5.054e-05
1736874000000,,6.178e-05
1736877600000,,0.00012505
1736881200000,,4.466e-05
1736884800000,,3.305e-05
1736888400000,,2.158e-05
1736892000000,,2.643e-05
1736895600000,,8.741e-05
1736899200000,0.0001,3.045e-05
1736902800000,,2.264e-05
1736906400000,,9.869e-05
1736910000000,,6.033e-05
1736913600000,,5.718e-05
1736917200000,,1.25e-05
1736920800000,,3.047e-05
1736924400000,,1.4e-05
1736928000000,0.0001,3.708e-05
1736931600000,,2.093e-05
1736935200000,,1.25e-05
1736938800000,,1.736e-05
1736942400000,,1.25e-05
1736946000000,,1.25e-05
1736949600000,,1.25e-05
1736953200000,,1.25e-05
1736956800000,0.0001,0.00010166
1736960400000,,4.097e-05
1736964000000,,7.127e-05
1736967600000,,5.198e-05
1736971200000,,1.25e-05
1736974800000,,3.299e-05
1736978400000,,1.25e-05
1736982000000,,3.078e-05
1736985600000,7.409e-05,4.09e-05
1736989200000,,1.25e-05
1736992800000,,5.949e-05
1736996400000,,1.25e-05
1737000000000,,1.25e-05
1737003600000,,1.25e-05
1737007200000,,1.25e-05
1737010800000,,1.25e-05
1737014400000,0.0001,1.25e-05
1737018000000,,1.872e-05
1737021600000,,4.729e-05
1737025200000,,5.806e-05
1737028800000,,1.25e-05
1737032400000,,1.25e-05
1737036000000,,2.472e-05
1737039600000,,1.25e-05
1737043200000,0.0001,7.064e-05
1737046800000,,1.25e-05
1737050400000,,1.25e-05
